품목명,품목코드,metric,value,yyyymm,year,month,date,quarter
방사선장치 및 전기식 진단기기부품,26010,출하지수201502,85.1,201502,2015,2,2015-02-01,2015Q1
기타 의료용기기 및 부품,26020,출하지수201502,89.2,201502,2015,2,2015-02-01,2015Q1
"측정, 시험, 항해, 기타 정밀기기 및 부품",26030,출하지수201502,98.5,201502,2015,2,2015-02-01,2015Q1
광학기기 및 사진장비,26040,출하지수201502,97.7,201502,2015,2,2015-02-01,2015Q1
시계부품,26050,출하지수201502,91.9,201502,2015,2,2015-02-01,2015Q1
수송기계부품,27000,출하지수201502,86.1,201502,2015,2,2015-02-01,2015Q1
자동차용 엔진,27010,출하지수201502,74.6,201502,2015,2,2015-02-01,2015Q1
자동차 엔진용 부품,27030,출하지수201502,86.0,201502,2015,2,2015-02-01,2015Q1
자동차 차체용 부품,27040,출하지수201502,85.6,201502,2015,2,2015-02-01,2015Q1
자동차부품,27050,출하지수201502,85.6,201502,2015,2,2015-02-01,2015Q1
선박 구성부분품,27060,출하지수201502,97.5,201502,2015,2,2015-02-01,2015Q1
철도차량부품 및 관련장치,27070,출하지수201502,55.2,201502,2015,2,2015-02-01,2015Q1
항공기용 엔진 및 부품,27080,출하지수201502,98.0,201502,2015,2,2015-02-01,2015Q1
모터사이클,27090,출하지수201502,96.4,201502,2015,2,2015-02-01,2015Q1
자전거 및 환자용 차량,27100,출하지수201502,96.6,201502,2015,2,2015-02-01,2015Q1
운송장비용 의자,27110,출하지수201502,85.8,201502,2015,2,2015-02-01,2015Q1
장비,30000,출하지수201502,83.7,201502,2015,2,2015-02-01,2015Q1
정밀가공장비,31000,출하지수201502,86.2,201502,2015,2,2015-02-01,2015Q1
가공공작기계,31010,출하지수201502,95.4,201502,2015,2,2015-02-01,2015Q1
금속절삭 및 금속성형,31020,출하지수201502,83.8,201502,2015,2,2015-02-01,2015Q1
기타 가공 공작기계,31030,출하지수201502,95.4,201502,2015,2,2015-02-01,2015Q1
산업공정장비,32000,출하지수201502,85.3,201502,2015,2,2015-02-01,2015Q1
산업 처리공정 제어장비,32010,출하지수201502,83.9,201502,2015,2,2015-02-01,2015Q1
그 외 기타 전기장비,32020,출하지수201502,77.3,201502,2015,2,2015-02-01,2015Q1
일반목적용 기계장비,32030,출하지수201502,81.0,201502,2015,2,2015-02-01,2015Q1
특수목적용 기계장비,32040,출하지수201502,89.4,201502,2015,2,2015-02-01,2015Q1
반도체·디스플레이장비,33000,출하지수201502,79.5,201502,2015,2,2015-02-01,2015Q1
반도체·디스플레이장비,33010,출하지수201502,79.5,201502,2015,2,2015-02-01,2015Q1
제조로봇 자동화장비,34000,출하지수201502,90.2,201502,2015,2,2015-02-01,2015Q1
승강기 및 컨베이어 장치,34010,출하지수201502,84.7,201502,2015,2,2015-02-01,2015Q1
산업용 로봇,34020,출하지수201502,92.2,201502,2015,2,2015-02-01,2015Q1
계측장비,35000,출하지수201502,87.1,201502,2015,2,2015-02-01,2015Q1
"측정,시험,제어 등 장비",35010,출하지수201502,84.6,201502,2015,2,2015-02-01,2015Q1
광학기기 장비,35020,출하지수201502,97.1,201502,2015,2,2015-02-01,2015Q1
소재부품장비,0,출하지수201503,102.2,201503,2015,3,2015-03-01,2015Q1
소재,10000,출하지수201503,101.1,201503,2015,3,2015-03-01,2015Q1
